Rank,Gamer,Category,Number of Viewers,viewers,Percentage of Viewers,of,Of Game,Percentage Of Spanish viewership,of,Of Spanish,viewership
#51,KOLDERIU,FIFA 23,669,viewers,1.9%,of FIFA 23,0.23%,of Spanish viewership
#52,SP_GODLATINO,South Park,649,viewers,42.14%,of South Park,0.22%,of Spanish viewership
#53,AKUASMR,ASMR,592,viewers,6%,of ASMR,0.2%,of Spanish viewership
#54,LOKONAZO1,Minecraft,586,viewers,1.65%,of Minecraft,0.2%,of Spanish viewership
#55,CHESSCOMES,Chess,552,viewers,2.17%,of Chess,0.19%,of Spanish viewership
#56,LEVELEO,Diablo IV,547,viewers,0.12%,of Diablo IV,0.19%,of Spanish viewership
#57,IJENZ,ASMR,519,viewers,5.26%,of ASMR,0.18%,of Spanish viewership
#58,BEELCE1,Diablo IV,517,viewers,0.11%,of Diablo IV,0.18%,of Spanish viewership
#59,MATEOZ,Fortnite,508,viewers,1.29%,of Fortnite,0.18%,of Spanish viewership
#60,JEFRAIN,Just Chatting,494,viewers,0.14%,of Just Chatting,0.17%,of Spanish viewership
Rank,Gamer,Category,Number of Viewers,viewers,Percentage of Viewers,of,Of Game,Percentage Of Spanish viewership,of,Of Spanish,viewership
#61,SRSERPIENTE,Street Fighter 6,485,viewers,0.73%,of Street Fighter 6,0.17%,of Spanish viewership
#62,KROKETTA,Grand Theft Auto V,485,viewers,0.41%,of Grand Theft Auto V,0.17%,of Spanish viewership
#63,FUNKYMMO,Diablo IV,482,viewers,0.11%,of Diablo IV,0.17%,of Spanish viewership
#64,KIDI,Travel & Outdoors,474,viewers,1.95%,of Travel & Outdoors,0.16%,of Spanish viewership
#65,HITBOXKING,Diablo IV,469,viewers,0.1%,of Diablo IV,0.16%,of Spanish viewership
#66,ALTERTIMESK,World of Warcraft,468,viewers,1.55%,of World of Warcraft,0.16%,of Spanish viewership
#67,TORE1005,Rust,451,viewers,2.45%,of Rust,0.16%,of Spanish viewership
#68,SOYMILU4,South Park,445,viewers,28.9%,of South Park,0.15%,of Spanish viewership
