,Gamer,AVG VIEWERS,TIME STREAMED(h),hours,ALL TIME PEAK VIEWERS,HOURS WATCHED,RANK,FOLLOWERS GAINED,TOTAL FOLLOWERS,TOTAL VIEWS
65,BIYIN_,"4,272",62.4,hours,"174,435",266K,653,+5.3K,3.15M,28.6M
66,THEDAARICK28,"3,348",102.8,hours,"9,922",344K,668,+3.4K,274K,2.88M
67,SOYMOTOR,"3,555",91,hours,"37,642",324K,669,+4.6K,151K,2.24M
68,PITUHERRANZ,"2,756",143.6,hours,"25,069",396K,672,+3.8K,104K,6.80M
69,SIRMAZA,"2,457",172.4,hours,"28,812",424K,674,+10.6K,285K,5.59M
70,MUNDODEPORTIVO,"3,668",79.9,hours,"20,163",293K,691,+792,5.6K,892
71,FARFADOXVEVO,"4,332",52.7,hours,"80,328",228K,692,+10.7K,1.47M,9.81M
72,ZONAGEMELOS,"6,225",7.5,hours,"11,483",46.9K,693,+3.5K,94.9K,83.1K
73,TVANDER,"3,194",104.3,hours,"34,659",333K,694,+1.9K,552K,18.6M
74,VALORANT_LA,"2,345",175.3,hours,"50,960",411K,699,+5.6K,333K,6.80M
75,CRYSTALMOLLY,"3,120",104.9,hours,"12,070",327K,705,+22.2K,218K,1.90M
76,AGUSTIN51,"3,074",103.8,hours,"30,795",319K,723,+20.5K,704K,2.85M
77,STARYUUKI,"2,994",101,hours,"33,699",302K,755,+26.2K,3.08M,42.3M
78,PUTUPAU,"2,411",147.7,hours,"21,928",356K,759,+3.7K,392K,8.17M
79,SMITTYW,"1,848",216.3,hours,"8,442",400K,770,+1.9K,129K,11.0M
80,SHELAO,"5,401",10.5,hours,"14,712",56.8K,774,+8.5K,396K,4.63M
81,AGENTEMAXO,"2,853",104,hours,"42,327",297K,782,+44.0K,1.24M,20.2M
82,COSCU,"2,247",157.7,hours,"425,659",354K,784,+1.9K,3.74M,88.3M
83,LAAGUSNETA,"2,414",137.5,hours,"9,122",332K,794,+15.4K,176K,47.7K
84,BYSTAXX,"3,221",79,hours,"269,907",254K,795,+4.6K,2.12M,30.8M
85,AGUSTABELL212,"2,345",142.6,hours,"30,887",334K,801,+3.9K,177K,8.05M
86,POLISPOL1,"2,100",164.5,hours,"47,586",345K,819,+10.0K,1.11M,7.08M
87,ARIGAMEPLAYS,"3,769",48.9,hours,"281,402",184K,822,+45.8K,6.12M,36.9M
88,SKAIN,"2,538",118.2,hours,"27,237",300K,827,+3.8K,190K,7.34M
89,ESPORTMANIACOS,"2,635",106.6,hours,"15,894",281K,840,+1.4K,171K,30.0M
90,JUJALAG,"2,111",156.7,hours,"15,879",331K,841,+7.7K,445K,6.67M
91,CONTERSTINE,"3,028",79.6,hours,"62,851",241K,843,+7.6K,1.22M,16.8M
92,GORILON,"4,131",29.5,hours,"21,570",122K,863,+5.0K,207K,2.46M
93,WERLYB,"3,133",68.6,hours,"76,653",215K,870,+2.1K,758K,33.4M
94,MAZZATOMAS,"2,636",96.7,hours,"10,366",255K,889,+27.1K,307K,205K
95,ROCKETSTREETLIVE,"2,137",140.9,hours,"51,956",301K,893,+6.1K,178K,3.67M
96,RENE8808,"2,525",104.1,hours,"5,568",263K,896,+44.5K,175K,--
97,IAMCRISTININI,"2,092",144.4,hours,"62,034",302K,900,+1.4K,3.26M,92.2M
98,ROXASORG13TH,"1,885",167.3,hours,"7,619",315K,919,+7.3K,128K,724K
99,KEZNIT1,"3,094",63.9,hours,"21,086",198K,923,+4.8K,330K,6.19M
