Gamer,AVG VIEWERS,TIME STREAMED(h),ALL TIME PEAK VIEWERS,HOURS WATCHED,RANK,FOLLOWERS GAINED,TOTAL FOLLOWERS,TOTAL VIEWS
JUJALAG,2.111,156.7,15879,331000.0,841,7700,445000,6670000
CONTERSTINE,3.028,79.6,62851,241000.0,843,7600,1220000,16800000
GORILON,4.131,29.5,21570,122000.0,863,5000,207000,2460000
WERLYB,3.133,68.6,76653,215000.0,870,2100,758000,33400000
MAZZATOMAS,2.636,96.7,10366,255000.0,889,27100,307000,205000
ROCKETSTREETLIVE,2.137,140.9,51956,301000.0,893,6100,178000,3670000
RENE8808,2.525,104.1,5568,263000.0,896,44500,175000,0
IAMCRISTININI,2.092,144.4,62034,302000.0,900,1400,3260000,92200000
ROXASORG13TH,1.885,167.3,7619,315000.0,919,7300,128000,724000
KEZNIT1,3.094,63.9,21086,198000.0,923,4800,330000,6190000
